source_dataset,presbytery_normalized,presbytery_id,canonicalization_status,observed_roster_rows,unique_printed_name_denominator,confirmed_person_count,confirmed_resolution_rate,multi_roster_person_count,multi_roster_rate_among_confirmed
formal_position_2008-overture-9-deaconess-study-minority-report,western canada,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2008-overture-9-deaconess-study-minority-report,westminster,westminster,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,blue ridge,blue-ridge,current_exact,2,2,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,central carolina,central-carolina,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,chicago metro,chicago-metro,current_exact,1,1,1,100.00,1,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,covenant,covenant,current_exact,2,2,1,50.00,1,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,georgia foothills,georgia-foothills,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,great lakes,great-lakes,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,houston metro,houston-metro,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,illiana,illiana,current_exact,1,1,1,100.00,1,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,iowa,iowa,current_exact,2,2,1,50.00,1,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,james river,james-river,current_exact,2,2,2,100.00,2,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,louisiana,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,metro atlanta,metro-atlanta,current_exact,2,2,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,metro new york,metropolitan-new-york,known_alias,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,missouri,missouri,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,n new england,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,nashville,nashville,current_exact,1,1,1,100.00,1,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,north texas,north-texas,current_exact,2,2,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,northern california,northern-california,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,philadelphia,philadelphia,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,pittsburgh,pittsburgh,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,providence,providence,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,rocky mountain,rocky-mountain,current_exact,2,2,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,south florida,south-florida,current_exact,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,southeast alabama,southeast-alabama,current_exact,1,1,1,100.00,1,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,southeast louisiana,,unresolved_historical_or_noncanonical,1,1,0,0.00,0,0.00
formal_position_2009-overture-10-women-roles-study-minority-report,southwest,,unresolved_historical_or_noncanonical,1,1,1,100.00,1,100.00
formal_position_2009-overture-10-women-roles-study-minority-report,tennessee valley,tennessee-valley,current_exact,1,1,1,100.00,1,100.00
formal_role_overture_15,chicago metro,chicago-metro,current_exact,1,1,1,100.00,1,100.00
