dataset_a,dataset_b,roster_a_unique_printed_names,roster_b_unique_printed_names,confirmed_subset_a_count,confirmed_subset_b_count,confirmed_intersection_count,confirmed_union_count,jaccard_similarity,percent_of_confirmed_subset_a_in_b,percent_of_confirmed_subset_b_in_a,confirmed_lower_bound_percent_of_roster_a_in_b,confirmed_lower_bound_percent_of_roster_b_in_a,unresolved_possible_overlap_count
a_faithful_pca_2021-06-11,a_faithful_pca_2022-03-14,561,736,128,161,128,161,0.795031,100.00,79.50,22.82,17.39,432
a_faithful_pca_2021-06-11,amr_leadership_current,561,6,128,6,3,131,0.022901,2.34,50.00,0.53,50.00,0
a_faithful_pca_2021-06-11,amr_website_media_2023_2026,561,60,128,6,3,131,0.022901,2.34,50.00,0.53,5.00,10
a_faithful_pca_2021-06-11,amr_youtube_media_2023_2026,561,40,128,6,3,131,0.022901,2.34,50.00,0.53,7.50,5
a_faithful_pca_2021-06-11,institution_cdm,561,30,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_covenant-college,561,48,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,1
a_faithful_pca_2021-06-11,institution_covenant-theological-seminary,561,51,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,6
a_faithful_pca_2021-06-11,institution_geneva-benefits,561,46,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_greenville-presbyterian-theological-seminary,561,29,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_mission-to-north-america,561,95,128,2,1,129,0.007752,0.78,50.00,0.18,1.05,4
a_faithful_pca_2021-06-11,institution_mission-to-the-world,561,10,128,1,1,128,0.007812,0.78,100.00,0.18,10.00,0
a_faithful_pca_2021-06-11,institution_pca-administrative-committee,561,19,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_pca-foundation,561,23,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,1
a_faithful_pca_2021-06-11,institution_reformed-theological-seminary,561,46,128,1,0,129,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_reformed-university-fellowship,561,33,128,1,0,129,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_ridge-haven,561,17,128,1,1,128,0.007812,0.78,100.00,0.18,5.88,0
a_faithful_pca_2021-06-11,institution_westminster-seminary-california,561,21,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,institution_westminster-theological-seminary,561,32,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,nae_withdrawal_protest_2022,561,203,128,79,31,176,0.176136,24.22,39.24,5.53,15.27,7
a_faithful_pca_2021-06-11,national_partnership_confirmed_members,561,151,128,39,34,133,0.255639,26.56,87.18,6.06,22.52,16
a_faithful_pca_2021-06-11,overture_15_minority_2022,561,46,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,overture_15_negative_votes_2022,561,199,128,101,50,179,0.279330,39.06,49.50,8.91,25.13,11
a_faithful_pca_2021-06-11,overture_37_minority_2021,561,28,128,15,11,132,0.083333,8.59,73.33,1.96,39.29,1
a_faithful_pca_2021-06-11,publication_co-laborers-co-heirs-2019,561,26,128,1,0,129,0.000000,0.00,0.00,0.00,0.00,2
a_faithful_pca_2021-06-11,publication_heal-us-emmanuel-2016,561,30,128,7,4,131,0.030534,3.12,57.14,0.71,13.33,7
a_faithful_pca_2021-06-11,publication_hear-us-emmanuel-2020,561,29,128,3,3,128,0.023438,2.34,100.00,0.53,10.34,4
a_faithful_pca_2021-06-11,ruf_campus_catalog_2025,561,414,128,8,5,131,0.038168,3.91,62.50,0.89,1.21,6
a_faithful_pca_2021-06-11,ruf_staff_transitions_2026,561,203,128,0,0,128,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2021-06-11,warhurst_protest_2019,561,203,128,92,62,158,0.392405,48.44,67.39,11.05,30.54,9
a_faithful_pca_2022-03-14,amr_leadership_current,736,6,161,6,3,164,0.018293,1.86,50.00,0.41,50.00,0
a_faithful_pca_2022-03-14,amr_website_media_2023_2026,736,60,161,6,3,164,0.018293,1.86,50.00,0.41,5.00,10
a_faithful_pca_2022-03-14,amr_youtube_media_2023_2026,736,40,161,6,3,164,0.018293,1.86,50.00,0.41,7.50,5
a_faithful_pca_2022-03-14,institution_cdm,736,30,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_covenant-college,736,48,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,2
a_faithful_pca_2022-03-14,institution_covenant-theological-seminary,736,51,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,7
a_faithful_pca_2022-03-14,institution_geneva-benefits,736,46,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_greenville-presbyterian-theological-seminary,736,29,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_mission-to-north-america,736,95,161,2,1,162,0.006173,0.62,50.00,0.14,1.05,4
a_faithful_pca_2022-03-14,institution_mission-to-the-world,736,10,161,1,1,161,0.006211,0.62,100.00,0.14,10.00,0
a_faithful_pca_2022-03-14,institution_pca-administrative-committee,736,19,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_pca-foundation,736,23,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,1
a_faithful_pca_2022-03-14,institution_reformed-theological-seminary,736,46,161,1,0,162,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_reformed-university-fellowship,736,33,161,1,0,162,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_ridge-haven,736,17,161,1,1,161,0.006211,0.62,100.00,0.14,5.88,0
a_faithful_pca_2022-03-14,institution_westminster-seminary-california,736,21,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,institution_westminster-theological-seminary,736,32,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,nae_withdrawal_protest_2022,736,203,161,79,39,201,0.194030,24.22,49.37,5.30,19.21,9
a_faithful_pca_2022-03-14,national_partnership_confirmed_members,736,151,161,39,35,165,0.212121,21.74,89.74,4.76,23.18,19
a_faithful_pca_2022-03-14,overture_15_minority_2022,736,46,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,0
a_faithful_pca_2022-03-14,overture_15_negative_votes_2022,736,199,161,101,59,203,0.290640,36.65,58.42,8.02,29.65,12
a_faithful_pca_2022-03-14,overture_37_minority_2021,736,28,161,15,13,163,0.079755,8.07,86.67,1.77,46.43,2
a_faithful_pca_2022-03-14,publication_co-laborers-co-heirs-2019,736,26,161,1,0,162,0.000000,0.00,0.00,0.00,0.00,2
a_faithful_pca_2022-03-14,publication_heal-us-emmanuel-2016,736,30,161,7,4,164,0.024390,2.48,57.14,0.54,13.33,8
a_faithful_pca_2022-03-14,publication_hear-us-emmanuel-2020,736,29,161,3,3,161,0.018634,1.86,100.00,0.41,10.34,5
a_faithful_pca_2022-03-14,ruf_campus_catalog_2025,736,414,161,8,8,161,0.049689,4.97,100.00,1.09,1.93,7
a_faithful_pca_2022-03-14,ruf_staff_transitions_2026,736,203,161,0,0,161,0.000000,0.00,0.00,0.00,0.00,1
a_faithful_pca_2022-03-14,warhurst_protest_2019,736,203,161,92,78,175,0.445714,48.45,84.78,10.60,38.42,9
amr_leadership_current,amr_website_media_2023_2026,6,60,6,6,6,6,1.000000,100.00,100.00,100.00,10.00,0
amr_leadership_current,amr_youtube_media_2023_2026,6,40,6,6,6,6,1.000000,100.00,100.00,100.00,15.00,0
amr_leadership_current,institution_cdm,6,30,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_covenant-college,6,48,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_covenant-theological-seminary,6,51,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_geneva-benefits,6,46,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_greenville-presbyterian-theological-seminary,6,29,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_mission-to-north-america,6,95,6,2,0,8,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_mission-to-the-world,6,10,6,1,0,7,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_pca-administrative-committee,6,19,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_pca-foundation,6,23,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_reformed-theological-seminary,6,46,6,1,1,6,0.166667,16.67,100.00,16.67,2.17,0
amr_leadership_current,institution_reformed-university-fellowship,6,33,6,1,1,6,0.166667,16.67,100.00,16.67,3.03,0
amr_leadership_current,institution_ridge-haven,6,17,6,1,0,7,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_westminster-seminary-california,6,21,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,institution_westminster-theological-seminary,6,32,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,nae_withdrawal_protest_2022,6,203,6,79,0,85,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,national_partnership_confirmed_members,6,151,6,39,4,41,0.097561,66.67,10.26,66.67,2.65,0
amr_leadership_current,overture_15_minority_2022,6,46,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,overture_15_negative_votes_2022,6,199,6,101,2,105,0.019048,33.33,1.98,33.33,1.01,0
amr_leadership_current,overture_37_minority_2021,6,28,6,15,2,19,0.105263,33.33,13.33,33.33,7.14,0
amr_leadership_current,publication_co-laborers-co-heirs-2019,6,26,6,1,1,6,0.166667,16.67,100.00,16.67,3.85,0
amr_leadership_current,publication_heal-us-emmanuel-2016,6,30,6,7,3,10,0.300000,50.00,42.86,50.00,10.00,0
amr_leadership_current,publication_hear-us-emmanuel-2020,6,29,6,3,0,9,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,ruf_campus_catalog_2025,6,414,6,8,0,14,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,ruf_staff_transitions_2026,6,203,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_leadership_current,warhurst_protest_2019,6,203,6,92,1,97,0.010309,16.67,1.09,16.67,0.49,0
amr_website_media_2023_2026,amr_youtube_media_2023_2026,60,40,6,6,6,6,1.000000,100.00,100.00,10.00,15.00,14
amr_website_media_2023_2026,institution_cdm,60,30,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,2
amr_website_media_2023_2026,institution_covenant-college,60,48,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,1
amr_website_media_2023_2026,institution_covenant-theological-seminary,60,51,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,1
amr_website_media_2023_2026,institution_geneva-benefits,60,46,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,institution_greenville-presbyterian-theological-seminary,60,29,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,institution_mission-to-north-america,60,95,6,2,0,8,0.000000,0.00,0.00,0.00,0.00,3
amr_website_media_2023_2026,institution_mission-to-the-world,60,10,6,1,0,7,0.000000,0.00,0.00,0.00,0.00,1
amr_website_media_2023_2026,institution_pca-administrative-committee,60,19,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,institution_pca-foundation,60,23,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,institution_reformed-theological-seminary,60,46,6,1,1,6,0.166667,16.67,100.00,1.67,2.17,0
amr_website_media_2023_2026,institution_reformed-university-fellowship,60,33,6,1,1,6,0.166667,16.67,100.00,1.67,3.03,1
amr_website_media_2023_2026,institution_ridge-haven,60,17,6,1,0,7,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,institution_westminster-seminary-california,60,21,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,institution_westminster-theological-seminary,60,32,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,nae_withdrawal_protest_2022,60,203,6,79,0,85,0.000000,0.00,0.00,0.00,0.00,5
amr_website_media_2023_2026,national_partnership_confirmed_members,60,151,6,39,4,41,0.097561,66.67,10.26,6.67,2.65,8
amr_website_media_2023_2026,overture_15_minority_2022,60,46,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_website_media_2023_2026,overture_15_negative_votes_2022,60,199,6,101,2,105,0.019048,33.33,1.98,3.33,1.01,6
amr_website_media_2023_2026,overture_37_minority_2021,60,28,6,15,2,19,0.105263,33.33,13.33,3.33,7.14,2
amr_website_media_2023_2026,publication_co-laborers-co-heirs-2019,60,26,6,1,1,6,0.166667,16.67,100.00,1.67,3.85,0
amr_website_media_2023_2026,publication_heal-us-emmanuel-2016,60,30,6,7,3,10,0.300000,50.00,42.86,5.00,10.00,5
amr_website_media_2023_2026,publication_hear-us-emmanuel-2020,60,29,6,3,0,9,0.000000,0.00,0.00,0.00,0.00,2
amr_website_media_2023_2026,ruf_campus_catalog_2025,60,414,6,8,0,14,0.000000,0.00,0.00,0.00,0.00,4
amr_website_media_2023_2026,ruf_staff_transitions_2026,60,203,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,2
amr_website_media_2023_2026,warhurst_protest_2019,60,203,6,92,1,97,0.010309,16.67,1.09,1.67,0.49,5
amr_youtube_media_2023_2026,institution_cdm,40,30,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,1
amr_youtube_media_2023_2026,institution_covenant-college,40,48,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_covenant-theological-seminary,40,51,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_geneva-benefits,40,46,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_greenville-presbyterian-theological-seminary,40,29,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_mission-to-north-america,40,95,6,2,0,8,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_mission-to-the-world,40,10,6,1,0,7,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_pca-administrative-committee,40,19,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,1
amr_youtube_media_2023_2026,institution_pca-foundation,40,23,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_reformed-theological-seminary,40,46,6,1,1,6,0.166667,16.67,100.00,2.50,2.17,0
amr_youtube_media_2023_2026,institution_reformed-university-fellowship,40,33,6,1,1,6,0.166667,16.67,100.00,2.50,3.03,0
amr_youtube_media_2023_2026,institution_ridge-haven,40,17,6,1,0,7,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_westminster-seminary-california,40,21,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,institution_westminster-theological-seminary,40,32,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,nae_withdrawal_protest_2022,40,203,6,79,0,85,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,national_partnership_confirmed_members,40,151,6,39,4,41,0.097561,66.67,10.26,10.00,2.65,3
amr_youtube_media_2023_2026,overture_15_minority_2022,40,46,6,0,0,6,0.000000,0.00,0.00,0.00,0.00,0
amr_youtube_media_2023_2026,overture_15_negative_votes_2022,40,199,6,101,2,105,0.019048,33.33,1.98,5.00,1.01,2
amr_youtube_media_2023_2026,overture_37_minority_2021,40,28,6,15,2,19,0.105263,33.33,13.33,5.00,7.14,2
amr_youtube_media_2023_2026,publication_co-laborers-co-heirs-2019,40,26,6,1,1,6,0.166667,16.67,100.00,2.50,3.85,0
amr_youtube_media_2023_2026,publication_heal-us-emmanuel-2016,40,30,6,7,3,10,0.300000,50.00,42.86,7.50,10.00,1
